concept_id,indicator,model_id,series_id,year,value,unit,mapped_unit,observation_status,result_available,source_file,source_sheet,source_cell,source_formula,method,price_basis,scope,sign_convention,definition_group,vintage_id,time_aggregation,mapping_note,technical_interpretation,source_record
gdp_nominal_market,Nominal GDP at market prices,ministry_macro,gdp_nom,2024,126337.0099,mln AZN,mln AZN,source_historical,true,MOE SNA.xlsx,ÜDM sahələr üzrə,AI5,,portable_original_workbook_formula;historical_source,current market,whole economy,positive magnitude,gdp_market,ministry_supplied_original_2025_expected,,,"Compare current market-price GDP in million AZN, not basic-price value added. Ministry macro aggregates linked production accounts; CAEM canonical GDP is expenditure-framework sheet 5a row 24, while its production-book row 85 remains separate. Oxlon 2025 is an official-history replacement. Retained input and revision boundaries differ.","{""model_id"":""ministry_macro"",""scenario_id"":""baseline"",""vintage_id"":""ministry_supplied_original_2025_expected"",""series_id"":""gdp_nom"",""concept"":""Nominal GDP market prices"",""unit"":""mln AZN"",""frequency"":""annual"",""year"":2024,""value"":126337.0099,""status"":""run_calculated"",""source_file"":""MOE SNA.xlsx"",""source_sheet"":""ÜDM sahələr üzrə"",""source_cell"":""AI5"",""method"":""portable_original_workbook_formula;historical_source"",""data_status"":""source_historical"",""source_value_type"":""formula_calculated"",""reporting_role"":""canonical_source_control"",""parent_vintage_id"":""ministry_supplied_original_2025_expected"",""input_vintage_id"":"""",""fr_ids"":[""FR1"",""FR2""]}"
gdp_nominal_market,Nominal GDP at market prices,ministry_macro,gdp_nom,2025,128134.2131721304,mln AZN,mln AZN,original_formula_expected,true,MOE SNA.xlsx,ÜDM sahələr üzrə,AJ5,,portable_original_workbook_formula;expected,current market,whole economy,positive magnitude,gdp_market,ministry_supplied_original_2025_expected,,,"Compare current market-price GDP in million AZN, not basic-price value added. Ministry macro aggregates linked production accounts; CAEM canonical GDP is expenditure-framework sheet 5a row 24, while its production-book row 85 remains separate. Oxlon 2025 is an official-history replacement. Retained input and revision boundaries differ.","{""model_id"":""ministry_macro"",""scenario_id"":""baseline"",""vintage_id"":""ministry_supplied_original_2025_expected"",""series_id"":""gdp_nom"",""concept"":""Nominal GDP market prices"",""unit"":""mln AZN"",""frequency"":""annual"",""year"":2025,""value"":128134.2131721304,""status"":""run_calculated"",""source_file"":""MOE SNA.xlsx"",""source_sheet"":""ÜDM sahələr üzrə"",""source_cell"":""AJ5"",""method"":""portable_original_workbook_formula;expected"",""data_status"":""original_formula_expected"",""source_value_type"":""formula_calculated"",""reporting_role"":""canonical_source_control"",""parent_vintage_id"":""ministry_supplied_original_2025_expected"",""input_vintage_id"":"""",""fr_ids"":[""FR1"",""FR2""]}"
gdp_nominal_market,Nominal GDP at market prices,ministry_macro,gdp_nom,2026,130056.06367326851,mln AZN,mln AZN,original_formula_forecast,true,MOE SNA.xlsx,ÜDM sahələr üzrə,AK5,AK345+AK332,portable_original_workbook_formula;forecast,current market,whole economy,positive magnitude,gdp_market,ministry_supplied_original_2025_expected,,,"Compare current market-price GDP in million AZN, not basic-price value added. Ministry macro aggregates linked production accounts; CAEM canonical GDP is expenditure-framework sheet 5a row 24, while its production-book row 85 remains separate. Oxlon 2025 is an official-history replacement. Retained input and revision boundaries differ.","{""model_id"":""ministry_macro"",""scenario_id"":""baseline"",""vintage_id"":""ministry_supplied_original_2025_expected"",""series_id"":""gdp_nom"",""concept"":""Nominal GDP market prices"",""unit"":""mln AZN"",""frequency"":""annual"",""year"":2026,""value"":130056.06367326851,""status"":""run_calculated"",""source_file"":""MOE SNA.xlsx"",""source_sheet"":""ÜDM sahələr üzrə"",""source_cell"":""AK5"",""method"":""portable_original_workbook_formula;forecast"",""data_status"":""original_formula_forecast"",""source_value_type"":""formula_calculated"",""reporting_role"":""canonical_source_control"",""parent_vintage_id"":""ministry_supplied_original_2025_expected"",""input_vintage_id"":"""",""fr_ids"":[""FR1"",""FR2""]}"
gdp_nominal_market,Nominal GDP at market prices,ministry_macro,gdp_nom,2027,137422.8922262646,mln AZN,mln AZN,original_formula_forecast,true,MOE SNA.xlsx,ÜDM sahələr üzrə,AL5,AL345+AL332,portable_original_workbook_formula;forecast,current market,whole economy,positive magnitude,gdp_market,ministry_supplied_original_2025_expected,,,"Compare current market-price GDP in million AZN, not basic-price value added. Ministry macro aggregates linked production accounts; CAEM canonical GDP is expenditure-framework sheet 5a row 24, while its production-book row 85 remains separate. Oxlon 2025 is an official-history replacement. Retained input and revision boundaries differ.","{""model_id"":""ministry_macro"",""scenario_id"":""baseline"",""vintage_id"":""ministry_supplied_original_2025_expected"",""series_id"":""gdp_nom"",""concept"":""Nominal GDP market prices"",""unit"":""mln AZN"",""frequency"":""annual"",""year"":2027,""value"":137422.8922262646,""status"":""run_calculated"",""source_file"":""MOE SNA.xlsx"",""source_sheet"":""ÜDM sahələr üzrə"",""source_cell"":""AL5"",""method"":""portable_original_workbook_formula;forecast"",""data_status"":""original_formula_forecast"",""source_value_type"":""formula_calculated"",""reporting_role"":""canonical_source_control"",""parent_vintage_id"":""ministry_supplied_original_2025_expected"",""input_vintage_id"":"""",""fr_ids"":[""FR1"",""FR2""]}"
gdp_nominal_market,Nominal GDP at market prices,ministry_macro,gdp_nom,2028,146693.04799210196,mln AZN,mln AZN,original_formula_forecast,true,MOE SNA.xlsx,ÜDM sahələr üzrə,AM5,AM345+AM332,portable_original_workbook_formula;forecast,current market,whole economy,positive magnitude,gdp_market,ministry_supplied_original_2025_expected,,,"Compare current market-price GDP in million AZN, not basic-price value added. Ministry macro aggregates linked production accounts; CAEM canonical GDP is expenditure-framework sheet 5a row 24, while its production-book row 85 remains separate. Oxlon 2025 is an official-history replacement. Retained input and revision boundaries differ.","{""model_id"":""ministry_macro"",""scenario_id"":""baseline"",""vintage_id"":""ministry_supplied_original_2025_expected"",""series_id"":""gdp_nom"",""concept"":""Nominal GDP market prices"",""unit"":""mln AZN"",""frequency"":""annual"",""year"":2028,""value"":146693.04799210196,""status"":""run_calculated"",""source_file"":""MOE SNA.xlsx"",""source_sheet"":""ÜDM sahələr üzrə"",""source_cell"":""AM5"",""method"":""portable_original_workbook_formula;forecast"",""data_status"":""original_formula_forecast"",""source_value_type"":""formula_calculated"",""reporting_role"":""canonical_source_control"",""parent_vintage_id"":""ministry_supplied_original_2025_expected"",""input_vintage_id"":"""",""fr_ids"":[""FR1"",""FR2""]}"
gdp_nominal_market,Nominal GDP at market prices,ministry_macro,gdp_nom,2029,159372.34208143744,mln AZN,mln AZN,original_formula_forecast,true,MOE SNA.xlsx,ÜDM sahələr üzrə,AN5,AN345+AN332,portable_original_workbook_formula;forecast,current market,whole economy,positive magnitude,gdp_market,ministry_supplied_original_2025_expected,,,"Compare current market-price GDP in million AZN, not basic-price value added. Ministry macro aggregates linked production accounts; CAEM canonical GDP is expenditure-framework sheet 5a row 24, while its production-book row 85 remains separate. Oxlon 2025 is an official-history replacement. Retained input and revision boundaries differ.","{""model_id"":""ministry_macro"",""scenario_id"":""baseline"",""vintage_id"":""ministry_supplied_original_2025_expected"",""series_id"":""gdp_nom"",""concept"":""Nominal GDP market prices"",""unit"":""mln AZN"",""frequency"":""annual"",""year"":2029,""value"":159372.34208143744,""status"":""run_calculated"",""source_file"":""MOE SNA.xlsx"",""source_sheet"":""ÜDM sahələr üzrə"",""source_cell"":""AN5"",""method"":""portable_original_workbook_formula;forecast"",""data_status"":""original_formula_forecast"",""source_value_type"":""formula_calculated"",""reporting_role"":""canonical_source_control"",""parent_vintage_id"":""ministry_supplied_original_2025_expected"",""input_vintage_id"":"""",""fr_ids"":[""FR1"",""FR2""]}"
gdp_nominal_market,Nominal GDP at market prices,ministry_macro,gdp_nom,2030,168392.94528930067,mln AZN,mln AZN,original_formula_forecast,true,MOE SNA.xlsx,ÜDM sahələr üzrə,AO5,AO345+AO332,portable_original_workbook_formula;forecast,current market,whole economy,positive magnitude,gdp_market,ministry_supplied_original_2025_expected,,,"Compare current market-price GDP in million AZN, not basic-price value added. Ministry macro aggregates linked production accounts; CAEM canonical GDP is expenditure-framework sheet 5a row 24, while its production-book row 85 remains separate. Oxlon 2025 is an official-history replacement. Retained input and revision boundaries differ.","{""model_id"":""ministry_macro"",""scenario_id"":""baseline"",""vintage_id"":""ministry_supplied_original_2025_expected"",""series_id"":""gdp_nom"",""concept"":""Nominal GDP market prices"",""unit"":""mln AZN"",""frequency"":""annual"",""year"":2030,""value"":168392.94528930067,""status"":""run_calculated"",""source_file"":""MOE SNA.xlsx"",""source_sheet"":""ÜDM sahələr üzrə"",""source_cell"":""AO5"",""method"":""portable_original_workbook_formula;forecast"",""data_status"":""original_formula_forecast"",""source_value_type"":""formula_calculated"",""reporting_role"":""canonical_source_control"",""parent_vintage_id"":""ministry_supplied_original_2025_expected"",""input_vintage_id"":"""",""fr_ids"":[""FR1"",""FR2""]}"
gdp_nominal_market,Nominal GDP at market prices,ministry_macro,gdp_nom,2031,,mln AZN,mln AZN,No mapped saved result,false,,,,,,current market,whole economy,positive magnitude,gdp_market,ministry_2024_history_2025_expected,,,"Compare current market-price GDP in million AZN, not basic-price value added. Ministry macro aggregates linked production accounts; CAEM canonical GDP is expenditure-framework sheet 5a row 24, while its production-book row 85 remains separate. Oxlon 2025 is an official-history replacement. Retained input and revision boundaries differ.",{}
gdp_nominal_market,Nominal GDP at market prices,ministry_caem,gdp_nom,2024,126337.0,mln AZN,mln AZN,legacy_historical_input,true,CAEM.xlsb / native formula export,5a.  GDP Nominal + (S+I),N24,N7+N11+N17-N19+N21,"exact native sheet output, year header independently checked",current market,authoritative whole-economy GDP aggregate/expenditure5a row24,positive magnitude,gdp_market,original_CAEM_2024_actual_2025_forecast,,,"Compare current market-price GDP in million AZN, not basic-price value added. Ministry macro aggregates linked production accounts; CAEM canonical GDP is expenditure-framework sheet 5a row 24, while its production-book row 85 remains separate. Oxlon 2025 is an official-history replacement. Retained input and revision boundaries differ.","{""model_id"":""ministry_caem"",""scenario_id"":""baseline"",""vintage_id"":""original_CAEM_2024_actual_2025_forecast"",""series_id"":""gdp_nom"",""concept"":""Core-framework nominal GDP at market prices, expenditure account"",""unit"":""mln AZN"",""frequency"":""annual"",""year"":2024,""value"":126337.0,""status"":""run_calculated"",""data_status"":""legacy_historical_input"",""source_file"":""CAEM.xlsb / native formula export"",""source_sheet"":""5a.  GDP Nominal + (S+I)"",""source_cell"":""N24"",""method"":""exact native sheet output, year header independently checked"",""fr_id"":""FR01"",""error"":null,""fr_ids"":[""FR1""],""coverage_scope"":""direct_original_output_atom"",""price_basis"":""current market GDP"",""unit_scale_unresolved"":false,""source_atom_id"":""ministry_caem:source:5a.  GDP Nominal + (S+I):row24"",""caveat"":""Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved."",""source_value_type"":""formula_calculated""}"
gdp_nominal_market,Nominal GDP at market prices,ministry_caem,gdp_nom,2025,129060.7272152843,mln AZN,mln AZN,original_forecast,true,CAEM.xlsb / native formula export,5a.  GDP Nominal + (S+I),O24,O7+O11+O17-O19+O21,"exact native sheet output, year header independently checked",current market,authoritative whole-economy GDP aggregate/expenditure5a row24,positive magnitude,gdp_market,original_CAEM_2024_actual_2025_forecast,,,"Compare current market-price GDP in million AZN, not basic-price value added. Ministry macro aggregates linked production accounts; CAEM canonical GDP is expenditure-framework sheet 5a row 24, while its production-book row 85 remains separate. Oxlon 2025 is an official-history replacement. Retained input and revision boundaries differ.","{""model_id"":""ministry_caem"",""scenario_id"":""baseline"",""vintage_id"":""original_CAEM_2024_actual_2025_forecast"",""series_id"":""gdp_nom"",""concept"":""Core-framework nominal GDP at market prices, expenditure account"",""unit"":""mln AZN"",""frequency"":""annual"",""year"":2025,""value"":129060.7272152843,""status"":""run_calculated"",""data_status"":""original_forecast"",""source_file"":""CAEM.xlsb / native formula export"",""source_sheet"":""5a.  GDP Nominal + (S+I)"",""source_cell"":""O24"",""method"":""exact native sheet output, year header independently checked"",""fr_id"":""FR01"",""error"":null,""fr_ids"":[""FR1""],""coverage_scope"":""direct_original_output_atom"",""price_basis"":""current market GDP"",""unit_scale_unresolved"":false,""source_atom_id"":""ministry_caem:source:5a.  GDP Nominal + (S+I):row24"",""caveat"":""Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved."",""source_value_type"":""formula_calculated""}"
