id,filename,category,rows,bytes,sha256,source
baseline-all,1551_All_Baseline_Results.csv,Baseline results,25016,9923352,593ca9c467eea864abb1c82ecfaba6e739227aed6c70ec843b1db9543cf32fb2,"Exact saved release records; presentation export, no new model estimation."
ministry_macro,1551_Ministry_Macro_Baseline.csv,Baseline results,10448,3682285,f8229a0e86faa02b1056d04bbadaeef20ed293471e90f96b5e45472a4e90c970,"Exact saved release records; presentation export, no new model estimation."
ministry_caem,1551_Ministry_CAEM_Baseline.csv,Baseline results,1259,706378,d68c62e483449722f52ae495bd028bb1b93a8bbc664ee09e83ef78d0bc2fc85c,"Exact saved release records; presentation export, no new model estimation."
oxlon.corrected.20260917,1551_Oxlon_Baseline.csv,Baseline results,13309,5264867,c920857d369009293c585e706753a2fe9a0d2df0d81c04b033989b5a7f490add,"Exact saved release records; presentation export, no new model estimation."
imf,1551_IMF_Article_IV_Reference.csv,Published reference,21,8108,c94251157461c0bb48c8d649eff3c49d099285415f2fdf7c2ab6cea5f74c26ac,"IMF Country Report 26/112, Table 1, PDF page 28 (printed page 22)."
FR1,1551_FR1_Baseline_Outputs.csv,FR1–FR12 outputs,1034,436655,d4a4033a0a71ce3f9a5bfc5d8bac95eebc3b891ae72d3563731fc42a81ad4fe7,"Exact saved release records; presentation export, no new model estimation."
FR2,1551_FR2_Baseline_Outputs.csv,FR1–FR12 outputs,5127,1924760,428f431b3d694a325b39c6a0e6e428204790c7c8c0fcb5ef040cefd252d0ebcc,"Exact saved release records; presentation export, no new model estimation."
FR3,1551_FR3_Baseline_Outputs.csv,FR1–FR12 outputs,1629,681975,e763cdc2a8d157c001e5918fb6b2c72519cd1f29a68db720e4dfe38b9be6b910,"Exact saved release records; presentation export, no new model estimation."
FR4,1551_FR4_Baseline_Outputs.csv,FR1–FR12 outputs,6614,2583917,eaa5faa6151b15a45dc304a1a90cadf550e8a0c25c622ccb9fd02a1020250813,"Exact saved release records; presentation export, no new model estimation."
FR5,1551_FR5_Baseline_Outputs.csv,FR1–FR12 outputs,109,42933,987f499c43fced27503e7fcc3e96d81a46885e7c95d443c649c7a7696218d6cb,"Exact saved release records; presentation export, no new model estimation."
FR6,1551_FR6_Baseline_Outputs.csv,FR1–FR12 outputs,998,388213,a87a3f997661e3cdd442fa32208d9c20fffc5e75b098e6fbd130e1be841a0dbc,"Exact saved release records; presentation export, no new model estimation."
FR7,1551_FR7_Baseline_Outputs.csv,FR1–FR12 outputs,1261,518019,e429cc23a4d625c56743029b8caadf963ad37bd7222082ee8ee24c4fe9354edf,"Exact saved release records; presentation export, no new model estimation."
FR8,1551_FR8_Baseline_Outputs.csv,FR1–FR12 outputs,3857,1513818,4e1d62b358a55bb2ca3b047257e83677167a632b22571cbea04a4d1cd8cbdd27,"Exact saved release records; presentation export, no new model estimation."
